1750065524.7067835	78	5492	7212
1750065529.7217877	78	5498	7223
1750065534.7392118	78	5510	7243
1750065539.7549837	78	5517	7255
1750065544.7702208	78	5530	7272
1750065549.7843418	78	5541	7281
1750065554.7988324	78	5551	7293
1750065559.815843	78	5563	7308
1750065564.8306994	78	5571	7319
1750065569.8459904	78	5581	7329
1750065574.860463	78	5590	7344
1750065579.8750415	78	5601	7358
1750065584.8955543	78	5612	7375
1750065589.9098742	78	5621	7387
1750065594.922988	78	5627	7403
1750065599.9367888	79	5635	7418
1750065604.9509246	79	5653	7426
1750065609.9729872	79	5665	7437
1750065614.9877822	79	5676	7455
1750065620.0007868	79	5687	7462
1750065625.0152946	79	5701	7480
1750065630.03066	79	5712	7501
1750065635.0497565	79	5725	7513
1750065640.064739	79	5733	7518
1750065645.0801444	79	5737	7527
1750065650.0948582	79	5745	7536
1750065655.110531	79	5755	7546
1750065660.1307716	79	5769	7556
1750065665.147965	79	5776	7571
1750065670.1628	80	5789	7583
1750065675.1781478	80	5796	7599
1750065680.19281	80	5810	7620
1750065685.210363	80	5821	7634
1750065690.2285192	81	5830	7642
1750065695.2436547	81	5837	7658
1750065700.2580168	81	5847	7671
1750065705.2722404	81	5859	7687
1750065710.2882192	81	5870	7696
1750065715.3063676	81	5882	7709
1750065720.3204772	81	5892	7721
1750065725.3344886	81	5905	7735
1750065730.3493385	81	5918	7748
1750065735.36446	81	5927	7767
1750065740.3831778	82	5938	7776
1750065745.397426	82	5951	7791
1750065750.4104328	82	5966	7807
1750065755.424891	82	5975	7820
1750065760.442503	82	5983	7837
1750065765.4625933	82	5991	7849
1750065770.4755745	82	6005	7862
1750065775.490539	82	6015	7880
1750065780.5058744	82	6029	7891
1750065785.521179	82	6042	7900
1750065790.542449	83	6059	7914
1750065795.555515	83	6076	7926
1750065800.5686016	83	6089	7931
1750065805.5836625	83	6101	7945
1750065810.6014955	83	6109	7957
1750065815.623947	83	6117	7970
1750065820.6376832	83	6127	7986
1750065825.6528444	83	6136	7999
1750065830.6678476	84	6148	8009
1750065835.680899	84	6166	8023
1750065840.699496	84	6177	8035
1750065845.7138739	84	6189	8046
1750065850.7289639	84	6198	8054
1750065855.743726	84	6204	8065
1750065860.7576144	84	6212	8076
1750065865.7791197	84	6220	8083
1750065870.7929037	84	6226	8096
1750065875.8079014	84	6237	8112
1750065880.8227894	84	6249	8120
1750065885.8382034	85	6261	8132
1750065890.855819	85	6275	8145
1750065895.869775	85	6289	8153
1750065900.884775	85	6299	8169
1750065905.8988712	85	6314	8178
1750065910.914839	85	6331	8184
1750065915.9343588	86	6341	8199
1750065920.948943	86	6351	8207
1750065925.9619002	86	6363	8224
1750065930.9771926	86	6373	8238
1750065935.991894	86	6384	8249
1750065941.0146976	86	6396	8258
1750065946.0295382	86	6404	8274
1750065951.0450392	86	6416	8281
1750065956.0579407	86	6434	8297
1750065961.0728307	86	6442	8312
1750065966.0883305	86	6451	8322
1750065971.1024563	86	6463	8334
1750065976.1180875	86	6468	8355
1750065981.133004	86	6476	8369
1750065986.1485384	86	6482	8389
1750065991.1634612	86	6496	8403
1750065996.1874118	86	6510	8415
1750066001.206104	86	6517	8426
1750066006.2219038	86	6523	8437
1750066011.2371154	86	6531	8444
1750066016.2524555	86	6548	8456
1750066021.2676544	86	6561	8470
1750066026.2836044	86	6570	8481
1750066031.2983265	86	6581	8495
1750066036.3132236	86	6590	8509
1750066041.3270965	87	6606	8525
1750066046.3416846	87	6615	8536
1750066051.3575253	87	6624	8554
1750066056.371999	87	6636	8571
1750066061.3867211	87	6644	8582
1750066066.4009635	87	6654	8592
1750066071.415848	87	6660	8608
1750066076.4314628	87	6668	8624
1750066081.4459608	87	6679	8636
1750066086.4609203	87	6684	8647
1750066091.4768033	87	6695	8662
1750066096.4911819	87	6705	8672
1750066101.5066838	88	6714	8686
1750066106.5207171	88	6728	8696
1750066111.535025	89	6738	8704
1750066116.550007	89	6748	8722
1750066121.565012	89	6755	8735
1750066126.580519	89	6763	8746
1750066131.597017	90	6775	8757
1750066136.6121156	91	6785	8779
1750066141.6257875	91	6790	8791
1750066146.6391635	91	6799	8802
1750066151.6533961	91	6811	8815
1750066156.6738796	91	6820	8831
1750066161.6885867	92	6831	8839
1750066166.7024977	93	6841	8844
1750066171.716214	94	6855	8852
1750066176.7315614	94	6865	8865
1750066181.748815	94	6873	8878
1750066186.7643332	94	6880	8896
1750066191.7782242	94	6886	8916
1750066196.7906094	94	6898	8927
1750066201.8048754	97	6909	8942
1750066206.823722	97	6918	8954
1750066211.8385894	97	6931	8964
1750066216.8529456	98	6946	8975
1750066221.866371	98	6959	8985
1750066226.8796628	98	6965	8998
1750066231.8988209	98	6972	9012
1750066236.9133968	98	6981	9029
1750066241.9279437	98	6994	9043
1750066246.942397	98	7010	9054
1750066251.9572406	98	7023	9069
1750066256.9765604	98	7034	9090
1750066261.991352	98	7040	9108
1750066267.0078783	98	7047	9118
1750066272.022544	98	7055	9127
1750066277.0362082	98	7064	9137
1750066282.0548556	98	7082	9146
1750066287.0698195	98	7097	9156
1750066292.0841932	98	7102	9171
1750066297.0994377	98	7113	9187
1750066302.1142452	98	7120	9200
1750066307.1322973	98	7129	9213
1750066312.1464458	98	7144	9219
1750066317.1610787	98	7154	9232
1750066322.1768427	100	7175	9249
1750066327.192354	100	7189	9260
1750066332.2168753	100	7200	9270
1750066337.2331254	100	7208	9286
1750066342.2474906	100	7215	9296
1750066347.2632906	100	7225	9310
1750066352.279049	100	7239	9325
1750066357.3004735	101	7249	9337
1750066362.3163054	102	7260	9347
1750066367.3300958	102	7268	9359
1750066372.345796	102	7280	9366
1750066377.3597515	102	7293	9380
1750066382.3752306	102	7302	9397
1750066387.3899105	102	7314	9401
1750066392.4048626	103	7323	9415
1750066397.4210813	103	7331	9427
1750066402.4460323	103	7339	9435
1750066407.4620404	103	7349	9450
1750066412.4776447	103	7366	9464
1750066417.494322	103	7372	9474
1750066422.5102465	104	7383	9486
1750066427.5333798	104	7396	9502
1750066432.5476952	104	7404	9513
1750066437.5690417	104	7422	9527
1750066442.5850294	104	7435	9540
1750066447.6006763	104	7444	9554
1750066452.6233742	104	7454	9563
1750066457.639681	104	7467	9577
1750066462.6566556	104	7480	9590
1750066467.6729631	104	7487	9601
1750066472.6871881	104	7496	9615
1750066477.710822	104	7504	9632
1750066482.7274928	104	7511	9644
1750066487.7462213	104	7520	9658
1750066492.7600236	105	7528	9672
1750066497.7752495	105	7537	9683
1750066502.7962973	105	7546	9696
1750066507.810083	106	7556	9710
1750066512.830599	106	7568	9730
1750066517.8447454	106	7586	9742
1750066522.858902	107	7596	9756
1750066527.8829482	107	7607	9768
1750066532.907076	107	7613	9780
1750066537.9233031	107	7620	9789
1750066542.9371989	107	7632	9800
1750066547.9525251	107	7641	9807
1750066552.9674833	107	7659	9820
1750066557.9931042	108	7674	9831
1750066563.0087569	108	7686	9850
1750066568.0239506	108	7695	9858
1750066573.038808	108	7705	9877
1750066578.0535567	108	7715	9890
1750066583.072618	109	7729	9912
1750066588.08881	109	7739	9932
1750066593.1035655	109	7748	9946
1750066598.119371	109	7760	9961
1750066603.1349494	109	7776	9973
1750066608.1562126	109	7790	9984
1750066613.17135	109	7803	9994
1750066618.1867616	109	7814	10011
1750066623.2016275	109	7827	10037
1750066628.2200012	109	7836	10049
1750066633.2426105	109	7846	10062
1750066638.2603414	109	7863	10075
1750066643.274356	109	7871	10082
1750066648.289948	110	7886	10098
1750066653.3092318	110	7895	10110
1750066658.3317041	110	7905	10123
1750066663.3518724	110	7917	10137
1750066668.3666043	111	7929	10149
1750066673.3828588	111	7941	10159
1750066678.3992062	111	7954	10179
1750066683.4252665	112	7963	10190
1750066688.444797	113	7970	10215
1750066693.4592168	113	7987	10230
1750066698.475653	113	8000	10243
1750066703.4913025	113	8009	10251
1750066708.511446	113	8020	10264
1750066713.5323708	113	8030	10272
1750066718.5467267	113	8040	10284
1750066723.562818	114	8054	10299
1750066728.578792	114	8069	10309
